,start_time,end_time,anesthetist_id,room_id
58,2023-04-25 13:15:00.000000,2023-04-25 13:45:00.000000,anesthetist - 16,room - 3
59,2023-04-25 13:45:00.000000,2023-04-25 14:45:00.000000,anesthetist - 16,room - 3
60,2023-04-25 13:45:00.000000,2023-04-25 15:45:00.000000,anesthetist - 17,room - 4
61,2023-04-25 14:00:00.000000,2023-04-25 16:45:00.000000,anesthetist - 13,room - 0
62,2023-04-25 14:15:00.000000,2023-04-25 15:15:00.000000,anesthetist - 20,room - 7
63,2023-04-25 14:15:00.000000,2023-04-25 16:00:00.000000,anesthetist - 18,room - 5
64,2023-04-25 14:15:00.000000,2023-04-25 16:45:00.000000,anesthetist - 19,room - 6
65,2023-04-25 14:30:00.000000,2023-04-25 15:15:00.000000,anesthetist - 12,room - 12
66,2023-04-25 14:30:00.000000,2023-04-25 17:15:00.000000,anesthetist - 15,room - 2
67,2023-04-25 15:00:00.000000,2023-04-25 16:15:00.000000,anesthetist - 16,room - 3
68,2023-04-25 15:30:00.000000,2023-04-25 16:00:00.000000,anesthetist - 20,room - 7
69,2023-04-25 15:30:00.000000,2023-04-25 18:15:00.000000,anesthetist - 14,room - 1
70,2023-04-25 15:45:00.000000,2023-04-25 16:00:00.000000,anesthetist - 21,room - 8
71,2023-04-25 15:45:00.000000,2023-04-25 17:00:00.000000,anesthetist - 17,room - 4
72,2023-04-25 15:45:00.000000,2023-04-25 17:00:00.000000,anesthetist - 22,room - 9
73,2023-04-25 16:00:00.000000,2023-04-25 18:30:00.000000,anesthetist - 27,room - 14
74,2023-04-25 16:15:00.000000,2023-04-25 16:30:00.000000,anesthetist - 26,room - 13
75,2023-04-25 16:15:00.000000,2023-04-25 16:45:00.000000,anesthetist - 24,room - 11
76,2023-04-25 16:15:00.000000,2023-04-25 18:45:00.000000,anesthetist - 25,room - 12
77,2023-04-25 16:30:00.000000,2023-04-25 17:45:00.000000,anesthetist - 26,room - 13
78,2023-04-25 16:45:00.000000,2023-04-25 17:00:00.000000,anesthetist - 21,room - 8
79,2023-04-25 16:45:00.000000,2023-04-25 17:15:00.000000,anesthetist - 23,room - 10
80,2023-04-25 16:45:00.000000,2023-04-25 17:45:00.000000,anesthetist - 24,room - 11
81,2023-04-25 17:00:00.000000,2023-04-25 18:00:00.000000,anesthetist - 22,room - 9
82,2023-04-25 17:15:00.000000,2023-04-25 19:00:00.000000,anesthetist - 19,room - 6
83,2023-04-25 17:15:00.000000,2023-04-25 19:00:00.000000,anesthetist - 21,room - 8
84,2023-04-25 17:15:00.000000,2023-04-25 19:15:00.000000,anesthetist - 20,room - 7
85,2023-04-25 17:15:00.000000,2023-04-25 19:30:00.000000,anesthetist - 23,room - 10
86,2023-04-25 17:30:00.000000,2023-04-25 18:45:00.000000,anesthetist - 17,room - 4
87,2023-04-25 17:30:00.000000,2023-04-25 19:30:00.000000,anesthetist - 18,room - 5
88,2023-04-25 17:45:00.000000,2023-04-25 18:15:00.000000,anesthetist - 26,room - 13
89,2023-04-25 17:45:00.000000,2023-04-25 18:45:00.000000,anesthetist - 24,room - 11
90,2023-04-25 18:00:00.000000,2023-04-25 20:15:00.000000,anesthetist - 22,room - 9
91,2023-04-25 18:15:00.000000,2023-04-25 18:30:00.000000,anesthetist - 16,room - 3
92,2023-04-25 18:15:00.000000,2023-04-25 18:45:00.000000,anesthetist - 26,room - 13
93,2023-04-25 18:15:00.000000,2023-04-25 19:00:00.000000,anesthetist - 13,room - 0
94,2023-04-25 18:15:00.000000,2023-04-25 19:30:00.000000,anesthetist - 15,room - 2
95,2023-04-25 18:15:00.000000,2023-04-25 19:45:00.000000,anesthetist - 14,room - 1
96,2023-04-25 18:30:00.000000,2023-04-25 19:45:00.000000,anesthetist - 27,room - 14
97,2023-04-25 18:45:00.000000,2023-04-25 20:15:00.000000,anesthetist - 26,room - 13
98,2023-04-25 19:00:00.000000,2023-04-25 19:30:00.000000,anesthetist - 25,room - 12
99,2023-04-25 19:00:00.000000,2023-04-25 20:30:00.000000,anesthetist - 24,room - 11
100,2023-04-25 19:15:00.000000,2023-04-25 21:00:00.000000,anesthetist - 21,room - 8
101,2023-04-25 19:30:00.000000,2023-04-25 20:45:00.000000,anesthetist - 20,room - 7
102,2023-04-25 19:30:00.000000,2023-04-25 21:00:00.000000,anesthetist - 23,room - 10
103,2023-04-25 19:30:00.000000,2023-04-25 21:00:00.000000,anesthetist - 25,room - 12
104,2023-04-25 19:45:00.000000,2023-04-25 20:30:00.000000,anesthetist - 18,room - 5
105,2023-04-25 19:45:00.000000,2023-04-25 20:30:00.000000,anesthetist - 19,room - 6
106,2023-04-25 19:45:00.000000,2023-04-25 20:45:00.000000,anesthetist - 27,room - 14
107,2023-04-25 19:45:00.000000,2023-04-25 20:45:00.000000,anesthetist - 15,room - 2
108,2023-04-25 20:15:00.000000,2023-04-25 20:30:00.000000,anesthetist - 14,room - 1
109,2023-04-25 20:15:00.000000,2023-04-25 20:45:00.000000,anesthetist - 22,room - 9
110,2023-04-25 20:15:00.000000,2023-04-25 20:45:00.000000,anesthetist - 26,room - 13
111,2023-04-25 20:30:00.000000,2023-04-25 21:00:00.000000,anesthetist - 19,room - 6
112,2023-04-25 20:30:00.000000,2023-04-25 21:00:00.000000,anesthetist - 24,room - 11
113,2023-04-25 20:45:00.000000,2023-04-25 21:00:00.000000,anesthetist - 27,room - 14
